21:10:38  |  Platform  |  Info  |  * Initialise: RenderManager  |  d:\myprojects\multiplayer\platforms\directx\directxplatform\src\mygui_directxrendermanager.cpp  |  28
21:10:38  |  Core  |  Info  |  Load ini file 'MyGUI_GeneratedFonts.xml'  |  .\src\MyGUI_ResourceManager.cpp  |  129
21:10:38  |  Core  |  Info  |  Load ini file 'MyGUI_Fonts.xml'  |  .\src\MyGUI_ResourceManager.cpp  |  129
21:10:38  |  Core  |  Error  |  ResourceTrueTypeFont: TrueType font 'DejaVuSansFont_15' disabled. Define MYGUI_USE_FREETYE if you need TrueType fonts.  |  .\src\MyGUI_ResourceTrueTypeFont.cpp  |  72
21:10:38  |  Core  |  Info  |  Load ini file 'MyGUI_CommonSkins.xml'  |  .\src\MyGUI_ResourceManager.cpp  |  129
21:10:38  |  Core  |  Info  |  Register value : 'HCenter' = 0  |  d:\myprojects\multiplayer\myguiengine\include\MyGUI_Align.h  |  243
21:10:38  |  Core  |  Info  |  Register value : 'VCenter' = 0  |  d:\myprojects\multiplayer\myguiengine\include\MyGUI_Align.h  |  244
21:10:38  |  Core  |  Info  |  Register value : 'Center' = 0  |  d:\myprojects\multiplayer\myguiengine\include\MyGUI_Align.h  |  245
21:10:38  |  Core  |  Info  |  Register value : 'Left' = 2  |  d:\myprojects\multiplayer\myguiengine\include\MyGUI_Align.h  |  246
21:10:38  |  Core  |  Info  |  Register value : 'Right' = 4  |  d:\myprojects\multiplayer\myguiengine\include\MyGUI_Align.h  |  247
21:10:38  |  Core  |  Info  |  Register value : 'HStretch' = 6  |  d:\myprojects\multiplayer\myguiengine\include\MyGUI_Align.h  |  248
21:10:38  |  Core  |  Info  |  Register value : 'Top' = 8  |  d:\myprojects\multiplayer\myguiengine\include\MyGUI_Align.h  |  249
21:10:38  |  Core  |  Info  |  Register value : 'Bottom' = 16  |  d:\myprojects\multiplayer\myguiengine\include\MyGUI_Align.h  |  250
21:10:38  |  Core  |  Info  |  Register value : 'VStretch' = 24  |  d:\myprojects\multiplayer\myguiengine\include\MyGUI_Align.h  |  251
21:10:38  |  Core  |  Info  |  Register value : 'Stretch' = 30  |  d:\myprojects\multiplayer\myguiengine\include\MyGUI_Align.h  |  252
21:10:38  |  Core  |  Info  |  Register value : 'Default' = 10  |  d:\myprojects\multiplayer\myguiengine\include\MyGUI_Align.h  |  253
21:10:38  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteTheme.xml'  |  .\src\MyGUI_ResourceManager.cpp  |  129
21:10:38  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteImages.xml'  |  .\src\MyGUI_ResourceManager.cpp  |  129
21:10:38  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteSkins.xml'  |  .\src\MyGUI_ResourceManager.cpp  |  129
21:10:39  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteTemplates.xml'  |  .\src\MyGUI_ResourceManager.cpp  |  129
21:10:39  |  Core  |  Info  |  Load ini file 'MyGUI_PointerImages.xml'  |  .\src\MyGUI_ResourceManager.cpp  |  129
21:10:39  |  Core  |  Info  |  Load ini file 'MyGUI_Pointers.xml'  |  .\src\MyGUI_ResourceManager.cpp  |  129
21:10:39  |  Core  |  Info  |  Load ini file 'MyGUI_Layers.xml'  |  .\src\MyGUI_ResourceManager.cpp  |  129
21:10:39  |  Core  |  Info  |  Load ini file 'MyGUI_Settings.xml'  |  .\src\MyGUI_ResourceManager.cpp  |  129
21:10:39  |  Core  |  Info  |  Gui successfully initialized  |  .\src\MyGUI_Gui.cpp  |  134
21:10:39  |  Core  |  Warning  |  dublicate resource name 'arrow'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'beam'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'size_left'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'size_right'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'size_horz'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'size_vert'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'hand'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'link'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Platform  |  Info  |  device D3D lost  |  d:\myprojects\multiplayer\platforms\directx\directxplatform\src\mygui_directxrendermanager.cpp  |  260
21:10:39  |  Platform  |  Info  |  device D3D restore  |  d:\myprojects\multiplayer\platforms\directx\directxplatform\src\mygui_directxrendermanager.cpp  |  270
21:10:39  |  Core  |  Info  |  Load ini file 'MyGUI_BlackBlueImages.xml'  |  .\src\MyGUI_ResourceManager.cpp  |  129
21:10:39  |  Core  |  Warning  |  dublicate resource name 'MultiListButtonImage'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Info  |  Load ini file 'MyGUI_BlackBlueSkins.xml'  |  .\src\MyGUI_ResourceManager.cpp  |  129
21:10:39  |  Core  |  Warning  |  dublicate resource name 'CheckBoxSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'RadioButtonSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'ButtonCloseSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'ButtonDownSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'ButtonUpSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'ButtonLeftSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'ButtonRightSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'SliderTrackVSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'ScrollTrackVSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'SliderTrackHSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'ScrollTrackHSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'ButtonSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'ButtonEmptySkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'EditBoxSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'MenuBarSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'MenuItemSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'ScrollPanelHSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'ScrollPanelVSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'ListBoxItemSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'SepDownHSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'SepUpHSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'SepDownVSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'SepUpVSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'ClientDefaultSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'ClientTileSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'PanelSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'WhiteSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'CaptionEmptySkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'CaptionSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'CaptionWithButtonSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'WindowFrameSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'WindowResizeLeftDownSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'WindowResizeRightDownSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'TabHeaderButtonSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'TabHeaderEmptySkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'TabPanelSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'MenuItemNormalSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'MenuItemPopupButtonSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'MenuItemCheckButtonSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'ProgressBarTrackHSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'MultiListButtonSkin'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Info  |  Load ini file 'MyGUI_BlackBlueTemplates.xml'  |  .\src\MyGUI_ResourceManager.cpp  |  129
21:10:39  |  Core  |  Warning  |  dublicate resource name 'CheckBox'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'RadioButton'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'ScrollBarH'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'ScrollBarV'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'SliderH'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'SliderV'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'SliderHEmpty'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'SliderVEmpty'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'Button'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'ButtonImage'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'TextBox'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'EditBox'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'EditBoxStretch'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'EditBoxEmpty'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'WordWrapEmpty'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'ComboBox'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'Window'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'WindowC'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'WindowCS'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'WindowCX'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'WindowCSX'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'MenuBar'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'MenuBarButton'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'MenuBarSeparator'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'PopupMenu'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'PopupMenuSeparator'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'PopupMenuNormal'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'PopupMenuPopup'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'ProgressBar'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'ProgressBarFill'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'ListBoxItem'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'ListBox'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'ItemBox'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'ItemBoxEmpty'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'ScrollView'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'ScrollViewEmpty'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'TabHeaderButton'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'TabControl'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'MultiListBox'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'MultiListButton'  |  .\src\MyGUI_ResourceManager.cpp  |  107
21:10:39  |  Core  |  Warning  |  dublicate resource name 'MultiSubListBox'  |  .\src\MyGUI_ResourceManager.cpp  |  107
